Aceleracion_Zx10;Aceleración_Z
8470686;8,470686
9363723;9,363723
9933543;9,933543
1079785;1,079785
1166695;1,166695
1048182;1,048182
119758;0,119758
1580892;1,580892
1124796;1,124796
1240197;1,240197
1136049;1,136049
1103966;1,103966
1086728;1,086728
1070687;1,070687
1090559;1,090559
1078349;1,078349
1077391;1,077391
1126951;1,126951
1013466;1,013466
1348654;1,348654
8468291;8,468291
9655815;9,655815
1047224;1,047224
1040041;1,040041
9689334;9,689334
8010999;8,010999
6627151;6,627151
1072842;1,072842
7733272;7,733272
1027352;1,027352
8896853;8,896853
1002452;1,002452
9701305;9,701305
9706094;9,706094
9519346;9,519346
9330204;9,330204
9469068;9,469068
9495404;9,495404
949301;0,949301
9459491;9,459491
109008;0,109008
1094869;1,094869
1091517;1,091517
1092235;1,092235
9593566;9,593566
1120965;1,120965
9502586;9,502586
101562;0,101562
9983821;9,983821
1024718;1,024718
8267179;8,267179
5822699;5,822699
1076433;1,076433
9188946;9,188946
1109712;1,109712
919134;0,919134
9756371;9,756371
9598354;9,598354
9689334;9,689334
9440337;9,440337
9560047;9,560047
9356541;9,356541
9380483;9,380483
9411607;9,411607
9476251;9,476251
9481039;9,481039
9461885;9,461885
943076;0,943076
9452309;9,452309
9572019;9,572019
9425972;9,425972
9217676;9,217676
976116;0,976116
1088883;1,088883
1088165;1,088165
9308656;9,308656
6631939;6,631939
7359776;7,359776
9619903;9,619903
1003889;1,003889
9804255;9,804255
9981427;9,981427
1068772;1,068772
1141795;1,141795
196127;0,196127
1237802;1,237802
1251928;1,251928
1079306;1,079306
1131979;1,131979
1105642;1,105642
1100854;1,100854
1087686;1,087686
1097263;1,097263
1080024;1,080024
111091;0,111091
1060392;1,060392
7867347;7,867347
913388;0,913388
9416395;9,416395
1023282;1,023282
9919178;9,919178
1010114;1,010114
9387665;9,387665
7819463;7,819463
1138443;1,138443
8602366;8,602366
8882488;8,882488
1062786;1,062786
9598354;9,598354
985214;0,985214
9765948;9,765948
9588778;9,588778
9488221;9,488221
9500193;9,500193
9440337;9,440337
9581595;9,581595
964145;0,964145
9478644;9,478644
9526528;9,526528
9533711;9,533711
9406818;9,406818
9504981;9,504981
9763555;9,763555
978989;0,978989
9476251;9,476251
941879;0,941879
1004368;1,004368
9708488;9,708488
1223437;1,223437
-6775591;-6,775591
1170765;1,170765
8999804;8,999804
925359;0,925359
9054871;9,054871
9279925;9,279925
9425972;9,425972
9809045;9,809045
1076194;1,076194
1506671;1,506671
1158315;1,158315
9495404;9,495404
9473856;9,473856
9473856;9,473856
9344569;9,344569
9385271;9,385271
9368511;9,368511
9473856;9,473856
9536105;9,536105
9569624;9,569624
8848969;8,848969
9478644;9,478644
9361329;9,361329
1105403;1,105403
9708488;9,708488
6275203;6,275203
1060392;1,060392
7920019;7,920019
9440337;9,440337
8269572;8,269572
8870518;8,870518
9933543;9,933543
1041478;1,041478
9986216;9,986216
1221522;1,221522
1255041;1,255041
1234211;1,234211
1191594;1,191594
9263166;9,263166
1066138;1,066138
1063983;1,063983
1100375;1,100375
1100136;1,100136
110253;0,110253
1073321;1,073321
5872977;5,872977
9069236;9,069236
1120486;1,120486
1029028;1,029028
9679757;9,679757
9528923;9,528923
1045548;1,045548
9595961;9,595961
790326;0,790326
1259829;1,259829
997185;0,997185
9433155;9,433155
1074278;1,074278
9399636;9,399636
9708488;9,708488
9435549;9,435549
9591172;9,591172
9380483;9,380483
9519346;9,519346
9411607;9,411607
9404425;9,404425
9392453;9,392453
9342175;9,342175
9394848;9,394848
9409213;9,409213
93733;0,093733
9478644;9,478644
9854534;9,854534
9512163;9,512163
9320627;9,320627
1138922;1,138922
1140598;1,140598
-260968;-0,260968
7544129;7,544129
9289502;9,289502
9112331;9,112331
1013945;1,013945
103238;0,103238
9287108;9,287108
1225352;1,225352
1316332;1,316332
1277067;1,277067
1296221;1,296221
1220803;1,220803
1153287;1,153287
1062547;1,062547
1078827;1,078827
1067335;1,067335
1082898;1,082898
1088404;1,088404
1075236;1,075236
10817;0,010817
172598;0,172598
9689334;9,689334
100772;0,100772
1007001;1,007001
9955091;9,955091
949301;0,949301
9780313;9,780313
8932767;8,932767
8137892;8,137892
1047463;1,047463
8140285;8,140285
1022564;1,022564
9349358;9,349358
9574412;9,574412
1385285;1,385285
3201048;3,201048
721373;0,721373
9244013;9,244013
865025;0,865025
9832987;9,832987
1086489;1,086489
1032619;1,032619
1254801;1,254801
1308431;1,308431
124714;0,124714
122224;0,122224
1142753;1,142753
1108755;1,108755
