Índice,Aceleracion_Z,Comentario
521,-12.14818,50 compresiones
522,-11.9327,50 compresiones
523,-13.19445,50 compresiones
524,-12.36605,50 compresiones
525,-12.44745,50 compresiones
526,-12.35648,50 compresiones
527,-12.10987,50 compresiones
528,-11.22641,50 compresiones
529,-9.730036,50 compresiones
530,-10.60871,50 compresiones
531,-10.2807,50 compresiones
532,-9.605537,50 compresiones
533,-9.828198,50 compresiones
534,-9.251195,50 compresiones
535,-10.78588,50 compresiones
536,-8.391677,50 compresiones
537,-7.299921,50 compresiones
538,-7.989451,50 compresiones
539,-8.561666,50 compresiones
540,-11.54005,50 compresiones
541,-10.74278,50 compresiones
542,-10.66856,50 compresiones
543,-13.75948,50 compresiones
544,-11.08755,50 compresiones
545,-10.93671,50 compresiones
546,-11.94467,50 compresiones
547,-11.90876,50 compresiones
548,-12.35408,50 compresiones
549,-12.37324,50 compresiones
550,-11.17374,50 compresiones
551,-9.363723,50 compresiones
552,-9.308656,50 compresiones
553,-9.160215,50 compresiones
554,-9.756371,50 compresiones
555,-9.610326,50 compresiones
556,-10.83855,50 compresiones
557,-9.064447,50 compresiones
558,-9.392453,50 compresiones
559,-8.183381,50 compresiones
560,-6.047753,50 compresiones
561,-7.496245,50 compresiones
562,-6.639122,50 compresiones
563,-7.534553,50 compresiones
564,-7.252037,50 compresiones
565,-8.130709,50 compresiones
566,-7.900866,50 compresiones
567,-8.061277,50 compresiones
568,-8.362947,50 compresiones
569,-8.386889,50 compresiones
570,-8.602366,50 compresiones
571,-8.336611,50 compresiones
572,-7.936779,50 compresiones
573,-8.281544,50 compresiones
574,-7.661446,50 compresiones
575,-7.034164,50 compresiones
576,-7.326257,50 compresiones
577,-6.332664,50 compresiones
578,-6.172252,50 compresiones
579,-7.204153,50 compresiones
580,-7.115568,50 compresiones
581,-9.495404,50 compresiones
582,-8.327033,50 compresiones
583,-11.56639,50 compresiones
584,-14.69561,50 compresiones
585,-12.81616,50 compresiones
586,-12.78983,50 compresiones
587,-13.61583,50 compresiones
588,-12.17212,50 compresiones
589,-12.20564,50 compresiones
590,-11.53048,50 compresiones
591,-11.98537,50 compresiones
592,-8.803479,50 compresiones
593,-7.611167,50 compresiones
594,-8.133103,50 compresiones
595,-7.778761,50 compresiones
596,-7.584831,50 compresiones
597,-8.133103,50 compresiones
598,-8.312668,50 compresiones
599,-8.09719,50 compresiones
600,-8.104373,50 compresiones
601,-8.219295,50 compresiones
602,-8.104373,50 compresiones
603,-7.984663,50 compresiones
604,-7.881712,50 compresiones
605,-7.21373,50 compresiones
606,-6.399701,50 compresiones
607,-4.733337,50 compresiones
608,-6.23929,50 compresiones
609,-5.535394,50 compresiones
610,-5.027823,50 compresiones
611,-2.96881,50 compresiones
612,-4.93445,50 compresiones
613,-8.190564,50 compresiones
614,-16.89109,50 compresiones
615,-14.80095,50 compresiones
616,-15.10262,50 compresiones
617,-15.61977,50 compresiones
618,-12.41394,50 compresiones
619,-11.82017,50 compresiones
620,-10.31422,50 compresiones
621,-11.41316,50 compresiones
622,-12.23437,50 compresiones
623,-7.759608,50 compresiones
624,-8.027759,50 compresiones
625,-8.128315,50 compresiones
626,-8.295909,50 compresiones
627,-7.891289,50 compresiones
628,-7.795521,50 compresiones
629,-8.054094,50 compresiones
630,-7.862558,50 compresiones
631,-7.060501,50 compresiones
632,-7.400477,50 compresiones
633,-6.200983,50 compresiones
634,-6.502652,50 compresiones
635,-6.361394,50 compresiones
636,-6.184223,50 compresiones
637,-8.039729,50 compresiones
638,-8.856153,50 compresiones
639,-11.37725,50 compresiones
640,-15.21036,50 compresiones
641,-13.92228,50 compresiones
642,-13.25191,50 compresiones
643,-13.22078,50 compresiones
644,-12.87841,50 compresiones
645,-12.32296,50 compresiones
646,-11.54245,50 compresiones
647,-11.7699,50 compresiones
648,-11.76511,50 compresiones
649,-10.35253,50 compresiones
650,-10.40041,50 compresiones
651,-8.315063,50 compresiones
652,-9.548077,50 compresiones
653,-9.765948,50 compresiones
654,-9.301474,50 compresiones
655,-9.524135,50 compresiones
656,-9.229648,50 compresiones
657,-8.611943,50 compresiones
658,-8.051701,50 compresiones
659,-7.31668,50 compresiones
660,-5.846641,50 compresiones
661,-6.67264,50 compresiones
662,-6.586449,50 compresiones
663,-8.286332,50 compresiones
664,-7.620744,50 compresiones
665,-8.039729,50 compresiones
666,-8.310274,50 compresiones
667,-8.154651,50 compresiones
668,-8.319851,50 compresiones
669,-7.833828,50 compresiones
670,-8.135497,50 compresiones
671,-7.702147,50 compresiones
672,-7.920019,50 compresiones
673,-7.33344,50 compresiones
674,-7.776367,50 compresiones
675,-7.264008,50 compresiones
676,-6.787562,50 compresiones
677,-6.402095,50 compresiones
678,-5.959168,50 compresiones
679,-5.664681,50 compresiones
680,-5.410896,50 compresiones
681,-6.739678,50 compresiones
682,-9.701305,50 compresiones
683,-10.59674,50 compresiones
684,-13.89834,50 compresiones
685,-12.93348,50 compresiones
686,-12.3469,50 compresiones
687,-16.55351,50 compresiones
688,-13.5033,50 compresiones
689,-9.952697,50 compresiones
690,-9.967062,50 compresiones
691,-11.90158,50 compresiones
692,-10.62068,50 compresiones
693,-11.88242,50 compresiones
694,-13.66371,50 compresiones
695,-12.51689,50 compresiones
696,-13.48654,50 compresiones
697,-12.45703,50 compresiones
698,-11.40119,50 compresiones
699,-11.69567,50 compresiones
700,-11.74595,50 compresiones
701,-10.97502,50 compresiones
702,-11.03488,50 compresiones
703,-7.917625,50 compresiones
704,-8.698134,50 compresiones
705,-8.777143,50 compresiones
706,-9.272743,50 compresiones
707,-8.779537,50 compresiones
708,-8.470686,50 compresiones
709,-8.494628,50 compresiones
710,-7.268796,50 compresiones
711,-7.69257,50 compresiones
712,-7.12275,50 compresiones
713,-6.823475,50 compresiones
714,-7.36217,50 compresiones
715,-7.522582,50 compresiones
716,-8.26239,50 compresiones
717,-7.687782,50 compresiones
718,-8.128315,50 compresiones
719,-7.989451,50 compresiones
720,-8.437167,50 compresiones
721,-7.742848,50 compresiones
722,-7.642292,50 compresiones
723,-7.548918,50 compresiones
724,-7.438785,50 compresiones
725,-7.431602,50 compresiones
726,-6.823475,50 compresiones
727,-5.784391,50 compresiones
728,-5.928043,50 compresiones
729,-7.680599,50 compresiones
730,-8.475474,50 compresiones
731,-9.708488,50 compresiones
732,-10.89122,50 compresiones
733,-12.29662,50 compresiones
734,-12.07396,50 compresiones
735,-12.90714,50 compresiones
736,-6.311116,50 compresiones
737,-6.256049,50 compresiones
738,-8.259995,50 compresiones
739,-10.56801,50 compresiones
740,-12.55998,50 compresiones
741,-13.19445,50 compresiones
742,-11.74595,50 compresiones
743,-12.73476,50 compresiones
744,-13.86722,50 compresiones
745,-12.39239,50 compresiones
746,-12.19606,50 compresiones
747,-11.69567,50 compresiones
748,-11.17853,50 compresiones
749,-11.73638,50 compresiones
750,-13.14896,50 compresiones
751,-10.85531,50 compresiones
752,-9.241618,50 compresiones
753,-9.404425,50 compresiones
754,-8.506598,50 compresiones
755,-8.813056,50 compresiones
756,-9.390059,50 compresiones
757,-9.514558,50 compresiones
758,-8.978256,50 compresiones
759,-8.544906,50 compresiones
760,-3.462016,50 compresiones
761,-8.042124,50 compresiones
762,-4.493917,50 compresiones
763,-7.685388,50 compresiones
764,-7.532158,50 compresiones
765,-7.94875,50 compresiones
766,-8.291121,50 compresiones
767,-8.090008,50 compresiones
768,-8.010999,50 compresiones
769,-7.728483,50 compresiones
770,-7.955932,50 compresiones
771,-7.905654,50 compresiones
772,-7.745243,50 compresiones
773,-7.821857,50 compresiones
774,-6.86657,50 compresiones
775,-7.000646,50 compresiones
776,-5.889736,50 compresiones
777,-5.231331,50 compresiones
778,-5.825093,50 compresiones
779,-7.539341,50 compresiones
780,-9.241618,50 compresiones
781,-11.64779,50 compresiones
782,-14.87278,50 compresiones
783,-11.74595,50 compresiones
784,-10.86489,50 compresiones
785,-10.52012,50 compresiones
786,-11.55921,50 compresiones
787,-10.55125,50 compresiones
788,-10.03649,50 compresiones
789,-8.820239,50 compresiones
790,-10.24718,50 compresiones
791,-9.576807,50 compresiones
792,-8.734048,50 compresiones
793,-9.129091,50 compresiones
794,-9.11712,50 compresiones
795,-10.24479,50 compresiones
796,-7.285556,50 compresiones
797,-8.300697,50 compresiones
798,-4.88896,50 compresiones
799,-7.690176,50 compresiones
800,-7.175423,50 compresiones
801,-7.94875,50 compresiones
802,-7.455544,50 compresiones
803,-7.967903,50 compresiones
804,-7.730877,50 compresiones
805,-8.573636,50 compresiones
806,-8.018182,50 compresiones
807,-8.286332,50 compresiones
808,-7.445967,50 compresiones
809,-8.001422,50 compresiones
810,-7.682993,50 compresiones
811,-6.907272,50 compresiones
812,-6.208165,50 compresiones
813,-5.990293,50 compresiones
814,-5.482722,50 compresiones
815,-4.932055,50 compresiones
816,-7.067683,50 compresiones
817,-7.220912,50 compresiones
818,-7.860164,50 compresiones
819,-11.83215,50 compresiones
820,-14.80814,50 compresiones
821,-12.95742,50 compresiones
822,-11.48977,50 compresiones
823,-14.39155,50 compresiones
824,-11.07558,50 compresiones
825,-11.90637,50 compresiones
826,-13.01967,50 compresiones
827,-13.60625,50 compresiones
828,-12.69166,50 compresiones
829,-12.41633,50 compresiones
830,-11.23599,50 compresiones
831,-12.63181,50 compresiones
832,-10.37408,50 compresiones
833,-10.00058,50 compresiones
834,-10.1586,50 compresiones
835,-9.258378,50 compresiones
836,-9.07163,50 compresiones
837,-10.47224,50 compresiones
838,-8.377312,50 compresiones
839,-9.818622,50 compresiones
840,-6.224925,50 compresiones
841,-8.655039,50 compresiones
842,-5.030218,50 compresiones
843,-6.646304,50 compresiones
844,-5.906496,50 compresiones
845,-7.884106,50 compresiones
846,-7.589619,50 compresiones
847,-7.467515,50 compresiones
848,-7.733272,50 compresiones
849,-8.329428,50 compresiones
850,-8.204929,50 compresiones
851,-8.001422,50 compresiones
852,-7.611167,50 compresiones
853,-7.290344,50 compresiones
854,-8.034941,50 compresiones
855,-6.840234,50 compresiones
856,-6.981492,50 compresiones
857,-6.739678,50 compresiones
858,-6.291962,50 compresiones
859,-5.238513,50 compresiones
860,-7.666234,50 compresiones
861,-7.726089,50 compresiones
862,-7.398083,50 compresiones
863,-7.208941,50 compresiones
864,-6.818686,50 compresiones
865,-7.465121,50 compresiones
866,-6.162675,50 compresiones
867,-6.241684,50 compresiones
868,-5.580884,50 compresiones
869,-5.664681,50 compresiones
870,-6.514623,50 compresiones
871,-9.399636,50 compresiones
872,-11.38204,50 compresiones
873,-13.57034,50 compresiones
874,-10.52012,50 compresiones
875,-12.7587,50 compresiones
876,-17.1784,50 compresiones
877,-12.45464,50 compresiones
878,-13.66132,50 compresiones
879,-11.69567,50 compresiones
880,-11.91834,50 compresiones
881,-11.67652,50 compresiones
882,-10.93192,50 compresiones
883,-10.36689,50 compresiones
884,-10.17057,50 compresiones
885,-9.255983,50 compresiones
886,-10.06522,50 compresiones
887,-9.660604,50 compresiones
888,-9.141062,50 compresiones
889,-10.09156,50 compresiones
890,-8.259995,50 compresiones
891,-8.652645,50 compresiones
892,-6.756437,50 compresiones
893,-7.975086,50 compresiones
894,-5.33907,50 compresiones
895,-8.401254,50 compresiones
896,-8.106767,50 compresiones
897,-7.855376,50 compresiones
898,-8.145074,50 compresiones
899,-7.867347,50 compresiones
900,-7.905654,50 compresiones
901,-7.730877,50 compresiones
902,-7.532158,50 compresiones
903,-7.706935,50 compresiones
904,-7.496245,50 compresiones
905,-7.156269,50 compresiones
906,-6.902483,50 compresiones
907,-6.59842,50 compresiones
908,-10.55604,50 compresiones
909,-9.176975,50 compresiones
910,-8.511387,50 compresiones
911,-9.543288,50 compresiones
912,-9.160215,50 compresiones
913,-10.79785,50 compresiones
914,-8.702923,50 compresiones
915,-9.102755,50 compresiones
916,-6.607996,50 compresiones
917,-7.426814,50 compresiones
918,-7.898471,50 compresiones
919,-5.051765,50 compresiones
920,-7.103596,50 compresiones
921,-7.40766,50 compresiones
922,-8.221688,50 compresiones
923,-8.164227,50 compresiones
924,-7.963115,50 compresiones
925,-8.037335,50 compresiones
926,-7.706935,50 compresiones
927,-7.781156,50 compresiones
