timestamp_s,Aceleracion_Z, Comentario
173,-3.454833,
174,5.71496,
175,10.25676,
176,10.95587,
177,10.93432,
178,10.31422,
179,12.42351,
180,12.81616,
181,12.56716,
182,12.66293,
183,8.59279,
184,11.47062,
185,11.00136,
186,11.11867,
187,10.86968,
188,10.69729,
189,11.11867,
190,10.76912,
191,11.66934,
192,12.9263,
193,8.130709,
194,14.51604,
195,8.145074,
196,11.27669,
197,7.335834,
198,11.66934,
199,14.08748,
100,9.294291,
101,9.919178,
102,8.722076,
103,9.691729,
104,9.303867,
105,12.46182,
106,-2.355895,
107,12.27747,
108,4.941632,
109,9.083601,
110,11.88003,
111,10.8577,
112,17.7554,
113,12.02608,
114,13.58231,
115,13.10586,
116,13.12023,
117,11.50174,
118,11.12107,
119,10.64462,
120,11.07558,
121,10.76672,
122,10.76912,
123,11.19529,
124,10.21606,
125,18.93814,
126,8.822633,
127,10.23282,
128,9.512163,
129,10.99417,
130,9.809045,
131,7.49864,
132,12.60068,
133,14.14494,
134,8.135497,
135,11.03009,
136,9.516952,
137,9.356541,
138,9.545682,
139,9.677363,
140,9.631873,
141,9.52174,
142,9.428367,
143,9.308656,
144,9.289502,
145,9.291897,
146,9.363723,
147,9.229648,
148,9.176975,
149,9.167398,
150,9.105149,
151,8.655039,
152,9.009381,
153,9.258378,
154,12.4307,
155,14.80335,
156,-12.44745,
157,15.80892,
158,8.348581,
159,9.188946,
160,9.107543,
161,9.76116,
162,11.21444,
163,10.87207,
164,12.73237,
165,12.88081,
166,12.40436,
167,12.23437,
168,11.71483,
169,11.22402,
170,11.0684,
171,11.08515,
172,10.82179,
173,11.13304,
174,10.8577,
175,9.828198,
176,11.45865,
177,9.981427,
178,10.05565,
179,10.6925,
180,6.708553,
181,12.11706,
182,11.57836,
183,8.805874,
184,10.32619,
185,9.871294,
186,9.82341,
187,9.411607,
188,9.883265,
189,9.399636,
190,9.595961,
191,9.457097,
192,9.301474,
193,9.390059,
194,9.179369,
195,9.270349,
196,9.3733,
197,9.339781,
198,9.25359,
199,9.291897,
100,11.9351,
101,11.66934,
102,11.33894,
103,11.0253,
104,10.89601,
105,10.90559,
106,10.92235,
107,10.59913,
108,11.28627,
109,10.00537,
110,9.004593,
111,11.94467,
112,9.548077,
113,10.47224,
114,8.224083,
115,12.67012,
116,13.73793,
117,8.3821,
118,11.79384,
119,9.217676,
120,9.023746,
121,9.674969,
122,9.598354,
123,9.548077,
124,9.404425,
125,9.354146,
126,9.193734,
127,9.212888,
128,9.258378,
129,9.315839,
130,9.411607,
131,9.416395,
132,9.368511,
133,9.239224,
134,9.543288,
135,9.32781,
136,9.387665,
137,10.43633,
138,15.09305,
139,15.58865,
140,-3.160346,
141,6.79235,
142,8.066066,
143,8.178593,
144,10.1586,
145,10.31662,
146,19.6127,
147,12.35887,
148,13.9965,
149,12.88799,
150,12.25113,
151,11.5209,
152,11.17374,
153,11.16177,
154,11.11149,
155,10.93911,
156,10.99896,
157,10.68053,
158,9.382876,
159,9.392453,
160,13.29979,
161,9.691729,
162,7.975086,
163,11.34133,
164,15.90229,
165,7.589619,
166,10.97981,
167,9.315839,
168,9.536105,
169,9.287108,
170,9.591172,
171,9.315839,
172,9.533711,
173,9.378088,
174,9.325416,
175,9.184157,
176,9.490616,
177,9.349358,
178,9.41879,
179,9.272743,
180,9.55047,
181,9.121908,
182,9.064447,
183,9.337387,
184,8.054094,
185,8.892065,
186,9.033323,
187,12.23437,
188,11.88003,
189,-3.622427,
190,8.274361,
191,10.46027,
192,10.22803,
193,13.29261,
194,11.30063,
195,12.76349,
196,12.51449,
197,13.63498,
198,12.62223,
199,12.22,
100,9.746795,
101,9.279925,
102,9.330204,
103,9.591172,
104,9.361329,
105,9.545682,
106,9.325416,
107,9.378088,
108,9.399636,
109,9.52174,
110,9.552865,
111,9.148245,
112,9.41879,
113,9.205706,
114,9.579201,
115,8.808268,
116,9.224859,
117,9.43076,
118,12.71321,
119,12.16973,
120,8.439561,
121,4.256891,
122,6.940791,
123,8.425196,
124,9.14585,
125,9.856929,
126,11.09234,
127,12.37802,
128,11.2312,
129,13.42429,
130,12.67969,
131,12.07875,
132,11.76032,
133,11.28866,
134,11.12586,
135,10.93911,
136,11.02291,
137,11.12825,
138,10.84334,
139,10.77151,
140,9.708488,
141,9.157822,
142,11.56399,
143,9.744401,
144,10.34535,
145,9.579201,
146,3.928885,
147,11.7699,
148,7.37893,
149,10.88404,
150,9.294291,
151,9.82341,
152,9.579201,
153,9.727641,
154,9.653421,
155,9.555259,
156,9.469068,
157,9.272743,
158,9.287108,
159,9.323022,
160,9.315839,
161,9.351752,
162,9.308656,
163,9.43076,
164,10.06044,
165,9.414001,
166,9.179369,
167,12.12184,
168,11.50174,
169,16.32127,
170,-1.460463,
171,8.082825,
172,8.956709,
173,9.442732,
174,11.17374,
175,10.49857,
176,11.63103,
177,16.41944,
178,11.26711,
179,12.52646,
180,12.03086,
181,11.6837,
182,11.4395,
183,11.22402,
184,10.96066,
185,10.94869,
186,10.75954,
187,11.2312,
188,11.25754,
189,10.37887,
190,9.308656,
191,11.12346,
192,9.923966,
193,10.65899,
194,9.428367,
195,5.2026,
196,10.70208,
197,10.34295,
198,10.85292,
199,9.770737,
100,9.605537,
101,9.524135,
102,12.02608,
103,10.70208,
104,11.14501,
105,-5.928043,
106,13.06995,
107,9.181764,
108,10.58955,
109,10.37168,
110,10.62786,
111,11.51372,
112,12.03565,
113,12.43548,
114,2.58095,
115,12.55041,
116,11.83454,
117,11.5209,
118,11.18092,
119,11.00615,
120,10.8601,
121,10.98939,
122,10.99178,
123,10.71166,
124,10.39562,
125,10.46506,
126,0.5889736,
127,7.575254,
128,10.53449,
129,10.58237,
130,9.720459,
131,6.560112,
132,11.49696,
133,8.566454,
134,9.143456,
135,9.684546,
136,9.928755,
137,9.502586,
138,9.799467,
139,9.715671,
140,9.610326,
141,9.56723,
142,9.409213,
143,9.466674,
144,9.471462,
145,9.516952,
146,9.603143,
147,9.557653,
148,9.572019,
149,9.378088,
150,9.562442,
151,9.32781,
152,9.435549,
153,9.607931,
154,9.698911,
155,9.653421,
156,12.57914,
157,4.982334,
158,0.3064578,
159,9.866506,
160,8.470686,
161,9.363723,
162,9.933543,
163,10.79785,
164,11.66695,
165,10.48182,
166,11.9758,
167,15.80892,
168,11.24796,
169,12.40197,
170,11.36049,
171,11.03966,
172,10.86728,
173,10.70687,
174,10.90559,
175,10.78349,
176,10.77391,
177,11.26951,
178,10.13466,
179,13.48654,
180,8.468291,
181,9.655815,
182,10.47224,
183,10.40041,
184,9.689334,
185,8.010999,
186,6.627151,
187,10.72842,
188,7.733272,
189,10.27352,
190,8.896853,
191,10.02452,
192,9.701305,
193,9.706094,
194,9.519346,
195,9.330204,
196,9.469068,
